Unnamed: 0,filename,x1,y1,x2,y2,blur,expression,illumination,invalid,occlusion,pose,original_width,original_height,relative_area,Gender,Race,Valid,Gender_Race,area_bin,upsample
15,0--Parade/0_Parade_Parade_0_761.jpg,207.0,459.0,537.0,900.0,0.0,1.0,0.0,0.0,0.0,0.0,1024.0,1536.0,0.0925254821777343,Female,White,True,Female_White,3.0,1
16,0--Parade/0_Parade_Parade_0_780.jpg,781.0,769.0,844.0,868.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,1536.0,0.0039653778076171,Male,Black,True,Male_Black,0.0,10
30,0--Parade/0_Parade_marchingband_1_431.jpg,254.0,416.0,404.0,560.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,683.0,0.0308839677891654,Male,White,True,Male_White,1.0,1
65,0--Parade/0_Parade_Parade_0_773.jpg,209.0,888.0,734.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1702.0,0.2334540935296709,Male,White,True,Male_White,8.0,1
72,0--Parade/0_Parade_marchingband_1_743.jpg,350.0,256.0,502.0,432.0,0.0,0.0,1.0,0.0,0.0,0.0,1024.0,684.0,0.0381944444444444,Female,White,True,Female_White,1.0,1
73,0--Parade/0_Parade_marchingband_1_840.jpg,734.0,112.0,836.0,226.0,1.0,0.0,0.0,0.0,1.0,0.0,1024.0,821.0,0.0138312652253349,Male,Black,True,Male_Black,0.0,10
74,0--Parade/0_Parade_marchingband_1_840.jpg,404.0,266.0,478.0,360.0,1.0,0.0,0.0,0.0,1.0,0.0,1024.0,821.0,0.0082740179658952,Male,Black,True,Male_Black,0.0,10
75,0--Parade/0_Parade_marchingband_1_840.jpg,80.0,294.0,142.0,380.0,1.0,0.0,1.0,0.0,1.0,0.0,1024.0,821.0,0.006342303593179,Male,Black,True,Male_Black,0.0,10
131,0--Parade/0_Parade_Parade_0_763.jpg,252.0,244.0,793.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1104.0,0.3330715013586957,Female,White,True,Female_White,12.0,1
134,0--Parade/0_Parade_marchingband_1_1031.jpg,276.0,266.0,830.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1309.0,0.2521157610771581,Male,Black,True,Male_Black,9.0,1
154,0--Parade/0_Parade_Parade_0_809.jpg,222.0,503.0,279.0,581.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,1535.0,0.0028285321661237,Male,Indian,True,Male_Indian,0.0,1
155,0--Parade/0_Parade_Parade_0_809.jpg,461.0,413.0,536.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1535.0,0.0055826292752443,Female,White,True,Female_White,0.0,1
156,0--Parade/0_Parade_Parade_0_809.jpg,719.0,479.0,773.0,557.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,1535.0,0.0026796620521172,Male,Indian,True,Male_Indian,0.0,1
220,0--Parade/0_Parade_marchingband_1_563.jpg,310.0,851.0,731.0,1338.0,0.0,0.0,0.0,0.0,1.0,0.0,1024.0,1530.0,0.1308638429330065,Male,White,True,Male_White,4.0,1
240,1--Handshaking/1_Handshaking_Handshaking_1_924.jpg,271.0,426.0,508.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1581.0,0.0374762808349146,Female,White,True,Female_White,1.0,1
247,1--Handshaking/1_Handshaking_Handshaking_1_575.jpg,440.0,110.0,528.0,238.0,0.0,0.0,0.0,0.0,0.0,1.0,1024.0,576.0,0.0190972222222222,Female,Black,True,Female_Black,0.0,1
248,1--Handshaking/1_Handshaking_Handshaking_1_575.jpg,666.0,48.0,746.0,212.0,0.0,0.0,0.0,0.0,0.0,1.0,1024.0,576.0,0.0222439236111111,Male,Black,True,Male_Black,0.0,1
271,1--Handshaking/1_Handshaking_Handshaking_1_335.jpg,184.0,160.0,250.0,286.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,712.0,0.0114060305477528,Male,Asian,True,Male_Asian,0.0,1
272,1--Handshaking/1_Handshaking_Handshaking_1_335.jpg,656.0,140.0,728.0,250.0,1.0,0.0,1.0,0.0,0.0,0.0,1024.0,712.0,0.010862886235955,Male,White,True,Male_White,0.0,1
273,1--Handshaking/1_Handshaking_Handshaking_1_795.jpg,455.0,237.0,542.0,363.0,0.0,0.0,1.0,0.0,1.0,0.0,1024.0,1532.0,0.0069876489066579,Male,Black,True,Male_Black,0.0,1
