,filename,x1,y1,x2,y2,blur,expression,illumination,invalid,occlusion,pose,original_width,original_height,relative_area,Gender,Race,Valid
0,0--Parade/0_Parade_marchingband_1_849.jpg,449.0,330.0,571.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1385.0,0.0128172946750902,Male,White,True
1,0--Parade/0_Parade_Parade_0_904.jpg,361.0,98.0,624.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1432.0,0.060801244980796,Female,White,True
2,0--Parade/0_Parade_marchingband_1_483.jpg,583.0,379.0,640.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0044937133789062,Female,Indian,True
3,0--Parade/0_Parade_marchingband_1_483.jpg,676.0,299.0,721.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0034332275390625,Male,White,True
4,0--Parade/0_Parade_marchingband_1_483.jpg,616.0,275.0,655.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0020332336425781,Male,White,True
5,0--Parade/0_Parade_marchingband_1_483.jpg,617.0,224.0,654.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0017407735188802,Male,White,True
6,0--Parade/0_Parade_marchingband_1_483.jpg,453.0,294.0,497.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0029652913411458,Male,White,True
7,0--Parade/0_Parade_marchingband_1_483.jpg,361.0,281.0,394.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0018043518066406,Female,White,True
8,0--Parade/0_Parade_marchingband_1_483.jpg,374.0,380.0,424.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0034968058268229,Male,White,True
9,0--Parade/0_Parade_marchingband_1_483.jpg,250.0,414.0,292.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.0028305053710937,Male,White,True
10,0--Parade/0_Parade_marchingband_1_483.jpg,485.0,419.0,533.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,768.0,0.00396728515625,Female,White,True
11,0--Parade/0_Parade_Parade_0_577.jpg,294.0,300.0,749.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1583.0,0.1633629283796588,Male,Undetermined,False
12,0--Parade/0_Parade_Parade_0_883.jpg,532.0,168.0,751.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1050.0,0.05845703125,Male,White,True
13,0--Parade/0_Parade_marchingband_1_873.jpg,439.0,182.0,624.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1413.0,0.0324760593595187,Female,White,True
