filename,x1,y1,x2,y2,blur,expression,illumination,invalid,occlusion,pose,original_width,original_height,relative_area,Sex,Ethnicity,Valid
0--Parade/0_Parade_marchingband_1_849.jpg,449,330,571,479,0,0,0,0,0,0,1024,1385,0.0128172946750902,Male,White,True
0--Parade/0_Parade_Parade_0_904.jpg,361,98,624,437,0,0,0,0,0,0,1024,1432,0.060801244980796,Male,White,True
0--Parade/0_Parade_marchingband_1_483.jpg,583,379,640,441,0,0,0,0,0,0,1024,768,0.0044937133789062,Male,White,True
0--Parade/0_Parade_marchingband_1_483.jpg,676,299,721,359,0,0,0,0,0,0,1024,768,0.0034332275390625,Male,White,True
0--Parade/0_Parade_marchingband_1_483.jpg,616,275,655,316,0,0,0,0,0,0,1024,768,0.0020332336425781,,,
0--Parade/0_Parade_marchingband_1_483.jpg,617,224,654,261,0,0,0,0,0,0,1024,768,0.0017407735188802,,,True
0--Parade/0_Parade_marchingband_1_483.jpg,453,294,497,347,0,0,0,0,0,0,1024,768,0.0029652913411458,,,True
0--Parade/0_Parade_marchingband_1_483.jpg,361,281,394,324,0,0,0,0,0,0,1024,768,0.0018043518066406,,,True
0--Parade/0_Parade_marchingband_1_483.jpg,374,380,424,435,0,0,0,0,0,0,1024,768,0.0034968058268229,,,True
0--Parade/0_Parade_marchingband_1_483.jpg,250,414,292,467,0,0,0,0,0,0,1024,768,0.0028305053710937,,,True
0--Parade/0_Parade_marchingband_1_483.jpg,485,419,533,484,0,0,0,0,0,0,1024,768,0.00396728515625,,,True
0--Parade/0_Parade_Parade_0_577.jpg,294,300,749,882,0,0,0,0,0,0,1024,1583,0.1633629283796588,,,True
0--Parade/0_Parade_Parade_0_883.jpg,532,168,751,455,0,0,0,0,0,0,1024,1050,0.05845703125,,,True
0--Parade/0_Parade_marchingband_1_873.jpg,439,182,624,436,0,0,0,0,0,0,1024,1413,0.0324760593595187,,,True
0--Parade/0_Parade_marchingband_1_925.jpg,273,327,549,699,0,0,0,0,0,0,1024,1536,0.065277099609375,,,True
0--Parade/0_Parade_Parade_0_761.jpg,207,459,537,900,0,1,0,0,0,0,1024,1536,0.0925254821777343,,,True
0--Parade/0_Parade_Parade_0_780.jpg,781,769,844,868,0,0,1,0,0,0,1024,1536,0.0039653778076171,,,True
0--Parade/0_Parade_marchingband_1_1038.jpg,332,128,542,424,0,0,0,0,0,0,1024,768,0.07904052734375,,,True
0--Parade/0_Parade_marchingband_1_1038.jpg,542,232,726,498,0,0,0,0,0,0,1024,768,0.0622355143229166,,,True
0--Parade/0_Parade_marchingband_1_641.jpg,349,179,520,400,0,0,0,0,0,0,1024,1366,0.0270170376555636,,,True
0--Parade/0_Parade_Parade_0_595.jpg,93,183,199,316,0,0,0,0,0,0,1024,1588,0.0086697595245591,,,True
0--Parade/0_Parade_Parade_0_595.jpg,450,161,577,335,0,0,0,0,0,0,1024,1588,0.0135894698520151,,,True
0--Parade/0_Parade_Parade_0_803.jpg,443,129,596,392,0,0,0,0,0,0,1024,1534,0.0256166221887222,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,278,219,330,290,0,0,1,0,0,0,1024,768,0.0046946207682291,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,422,205,472,262,0,0,1,0,0,0,1024,768,0.0036239624023437,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,607,226,660,286,0,0,0,0,0,0,1024,768,0.0040435791015625,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,758,206,815,276,0,0,0,0,0,0,1024,768,0.0050735473632812,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,924,227,989,299,0,0,0,0,0,0,1024,768,0.005950927734375,,,True
0--Parade/0_Parade_marchingband_1_473.jpg,132,214,186,277,0,0,1,0,1,0,1024,768,0.0043258666992187,,,True
0--Parade/0_Parade_Parade_0_123.jpg,342,324,456,454,0,0,0,0,0,0,1024,576,0.0251261393229166,,,True
0--Parade/0_Parade_marchingband_1_431.jpg,254,416,404,560,0,0,1,0,0,0,1024,683,0.0308839677891654,,,True
0--Parade/0_Parade_Parade_0_178.jpg,164,84,226,164,0,0,0,0,0,0,1024,668,0.007251122754491,,,True
0--Parade/0_Parade_Parade_0_178.jpg,346,72,404,166,0,0,0,0,0,0,1024,668,0.0079703873502994,,,True
0--Parade/0_Parade_Parade_0_178.jpg,464,94,534,172,0,0,0,0,0,0,1024,668,0.0079820827095808,,,True
0--Parade/0_Parade_Parade_0_178.jpg,634,110,700,174,0,0,0,0,0,0,1024,668,0.0061751497005988,,,True
0--Parade/0_Parade_Parade_0_178.jpg,780,106,844,190,0,0,0,0,0,0,1024,668,0.0078592814371257,,,True
0--Parade/0_Parade_marchingband_1_774.jpg,211,306,284,400,0,0,1,0,0,0,1024,881,0.0076063244892167,,,True
0--Parade/0_Parade_marchingband_1_774.jpg,973,349,1015,418,0,0,0,0,0,0,1024,881,0.0032123474744608,,,True
0--Parade/0_Parade_marchingband_1_95.jpg,828,209,884,285,0,0,0,0,0,0,1024,683,0.0060852855051244,,,True
0--Parade/0_Parade_marchingband_1_95.jpg,661,258,710,323,0,0,0,0,0,0,1024,683,0.0045539554355783,,,True
0--Parade/0_Parade_marchingband_1_95.jpg,503,253,551,319,0,0,1,0,0,0,1024,683,0.0045296486090775,,,True
0--Parade/0_Parade_marchingband_1_95.jpg,366,181,417,255,0,0,1,0,0,0,1024,683,0.0053961154831625,,,True
0--Parade/0_Parade_marchingband_1_95.jpg,148,176,202,244,0,0,1,0,0,0,1024,683,0.0052502745241581,,,True
0--Parade/0_Parade_Parade_0_271.jpg,142,424,214,520,0,0,0,0,0,0,1024,1024,0.006591796875,,,True
0--Parade/0_Parade_Parade_0_271.jpg,346,412,414,504,0,0,0,0,0,0,1024,1024,0.0059661865234375,,,True
0--Parade/0_Parade_Parade_0_271.jpg,504,400,570,488,0,0,0,0,0,0,1024,1024,0.0055389404296875,,,True
0--Parade/0_Parade_Parade_0_271.jpg,608,448,688,538,0,0,0,0,0,0,1024,1024,0.006866455078125,,,True
0--Parade/0_Parade_Parade_0_271.jpg,800,414,888,544,0,0,0,0,0,0,1024,1024,0.0109100341796875,,,True
0--Parade/0_Parade_Parade_0_371.jpg,188,140,310,314,1,0,0,0,0,0,1024,672,0.0308489118303571,,,True
0--Parade/0_Parade_Parade_0_371.jpg,316,114,394,240,1,0,0,0,0,0,1024,672,0.0142822265625,,,True
0--Parade/0_Parade_Parade_0_371.jpg,424,92,520,244,1,0,0,0,0,0,1024,672,0.0212053571428571,,,True
0--Parade/0_Parade_Parade_0_371.jpg,576,128,650,252,1,0,0,0,0,0,1024,672,0.013334728422619,,,True
0--Parade/0_Parade_Parade_0_371.jpg,700,120,826,296,1,0,0,0,0,0,1024,672,0.0322265625,,,True
